Spikeling Vm,Stimulus,Total Current Input,Synapse 1 Vm,Synapse 1 Input,Synapse 2 Vm,Synapse 2 Input
-64.06,20.0,25.83,-62.0,9.14,-61.0,15.7
-64.05,20.0,26.63,-62.0,9.09,-61.0,15.54
-64.07,20.0,26.43,-62.0,9.05,-61.0,15.39
-64.19,20.0,25.23,-62.0,9.0,-61.0,15.23
-64.24,20.0,26.03,-61.0,8.95,-61.0,15.08
-64.39,20.0,24.84,-58.0,8.91,-61.0,14.93
-64.56,20.0,24.64,-56.0,8.87,-60.0,14.78
-64.64,20.0,25.45,-54.0,8.82,-60.0,14.63
-64.83,20.0,24.26,-49.0,8.78,-60.0,14.48
-65.04,20.0,24.07,-44.0,8.73,-60.0,14.34
-65.15,20.0,24.89,-39.0,8.69,-60.0,14.2
-65.38,20.0,23.7,-32.0,8.65,-60.0,14.05
-65.53,20.0,24.34,-10.0,9.43,-60.0,13.91
-65.51,20.0,25.96,6.0,10.19,-58.0,13.78
-65.43,20.0,26.56,27.0,10.92,-58.0,13.64
-65.46,20.0,25.37,-62.0,10.87,-58.0,13.5
-65.41,20.0,26.18,-52.0,10.82,-58.0,13.37
-65.48,20.0,24.99,-41.0,10.76,-57.0,13.23
-65.55,20.0,24.81,-27.0,10.71,-57.0,13.1
-65.46,20.0,26.45,-13.0,11.48,-57.0,12.97
-65.3,20.0,27.06,-7.0,12.22,-57.0,12.84
-65.18,20.0,26.65,13.0,12.94,-57.0,12.71
-64.8,20.0,29.26,28.0,13.68,-55.0,12.58
-64.64,20.0,27.07,-62.0,13.61,-55.0,12.46
-64.5,20.0,26.87,-63.0,13.54,-55.0,12.33
-64.28,20.0,27.68,-64.0,13.47,-54.0,12.21
-64.17,20.0,26.49,-64.0,13.41,-54.0,12.09
-64.08,20.0,26.31,-65.0,13.34,-54.0,11.97
-63.8,20.0,28.12,-66.0,13.27,-53.0,11.85
-63.75,20.0,25.93,-67.0,13.21,-53.0,11.73
-63.7,20.0,25.75,-69.0,13.14,-53.0,11.61
-63.48,20.0,27.57,-70.0,13.07,-52.0,11.5
-63.46,20.0,25.39,-71.0,13.01,-51.0,11.38
-63.46,20.0,25.21,-71.0,12.94,-51.0,11.27
-63.28,20.0,27.03,-72.0,12.88,-51.0,11.15
-63.31,20.0,24.86,-72.0,12.81,-50.0,11.04
-63.35,20.0,24.68,-72.0,12.75,-50.0,10.93
-63.2,20.0,26.51,-74.0,12.69,-48.0,10.82
-63.27,20.0,24.34,-73.0,12.62,-48.0,10.71
-63.35,20.0,24.17,-74.0,12.56,-47.0,10.61
-63.24,20.0,26.0,-75.0,12.5,-46.0,10.5
-63.35,20.0,23.83,-75.0,12.43,-44.0,10.4
-63.46,20.0,23.67,-75.0,12.37,-40.0,10.29
-63.39,20.0,25.5,-75.0,12.31,-36.0,10.19
-63.53,20.0,23.34,-75.0,12.25,-30.0,10.09
-63.69,20.0,23.17,-75.0,12.19,-23.0,9.99
-63.45,20.0,27.03,-75.0,12.13,-15.0,11.9
-63.22,20.0,26.86,-75.0,12.07,-3.0,13.79
-62.82,20.0,28.66,-75.0,12.01,40.0,15.66
-62.33,20.0,29.44,-75.0,11.95,-62.0,15.5
-61.96,20.0,28.23,-75.0,11.89,-52.0,15.34
-61.6,20.0,28.02,-75.0,11.83,-42.0,15.19
-61.06,20.0,29.81,-75.0,11.77,-31.0,15.04
-60.53,20.0,29.63,-75.0,11.71,-19.0,16.92
-59.81,20.0,31.41,-75.0,11.65,-1.0,18.76
-58.7,20.0,35.2,-75.0,11.59,21.0,20.61
-57.57,20.0,34.93,-75.0,11.53,42.0,22.39
-56.44,20.0,34.64,-75.0,11.48,-62.0,22.17
-55.07,20.0,36.37,-75.0,11.42,-63.0,21.95
-53.86,20.0,34.09,-75.0,11.36,-64.0,21.73
-52.6,20.0,33.81,-75.0,11.31,-64.0,21.51
-51.06,20.0,35.54,-75.0,11.25,-66.0,21.29
-49.61,20.0,33.27,-75.0,11.19,-67.0,21.08
-48.05,20.0,33.01,-75.0,11.14,-67.0,20.87
-46.14,20.0,34.74,-75.0,11.08,-68.0,20.66
-44.22,20.0,32.48,-75.0,11.03,-68.0,20.46
-42.05,20.0,32.22,-75.0,10.97,-70.0,20.25
-39.37,20.0,33.96,-73.0,10.92,-70.0,20.05
-36.44,20.0,31.71,-74.0,10.86,-71.0,19.85
-32.96,20.0,31.46,-74.0,10.81,-71.0,19.65
-28.53,20.0,33.21,-74.0,10.75,-71.0,19.45
-23.2,20.0,30.96,-73.0,10.7,-71.0,19.26
-16.33,20.0,30.71,-74.0,10.65,-72.0,19.07
-6.93,20.0,32.47,-74.0,10.59,-72.0,18.88
6.08,20.0,30.23,-74.0,10.54,-72.0,18.69
25.52,20.0,29.99,-73.0,10.49,-72.0,18.5
-65.0,20.0,31.75,-73.0,10.43,-73.0,18.31
-64.99,20.0,29.51,-74.0,10.38,-73.0,18.13
-65.01,20.0,29.28,-74.0,10.33,-73.0,17.95
-64.84,20.0,31.05,-74.0,10.28,-73.0,17.77
-64.89,20.0,28.82,-72.0,10.23,-73.0,17.59
-64.95,20.0,28.59,-72.0,10.18,-73.0,17.42
-64.84,20.0,30.37,-72.0,10.12,-73.0,17.24
-64.94,20.0,28.14,-72.0,10.07,-73.0,17.07
-65.05,20.0,27.92,-72.0,10.02,-73.0,16.9
-64.99,20.0,29.7,-72.0,9.97,-73.0,16.73
-65.14,20.0,27.49,-72.0,9.92,-73.0,16.56
-65.3,20.0,27.27,-72.0,9.87,-73.0,16.4
-65.27,20.0,29.06,-72.0,9.82,-73.0,16.23
-65.47,20.0,26.85,-72.0,9.78,-73.0,16.07
-65.67,20.0,26.64,-72.0,9.73,-73.0,15.91
-65.68,20.0,28.43,-72.0,9.68,-73.0,15.75
-65.91,20.0,26.22,-72.0,9.63,-72.0,15.59
-66.15,20.0,26.02,-71.0,9.58,-72.0,15.44
-66.2,20.0,27.82,-71.0,9.53,-72.0,15.28
-66.46,20.0,25.62,-71.0,9.49,-72.0,15.13
-66.72,20.0,25.42,-71.0,9.44,-72.0,14.98
-66.79,20.0,27.22,-71.0,9.39,-72.0,14.83
-67.08,20.0,25.03,-71.0,9.34,-72.0,14.68
-67.37,20.0,24.83,-71.0,9.3,-72.0,14.53
-67.46,20.0,26.64,-71.0,9.25,-72.0,14.39
-67.76,20.0,24.45,-71.0,9.21,-72.0,14.25
-68.06,20.0,24.26,-71.0,9.16,-72.0,14.1
-68.17,20.0,26.08,-71.0,9.11,-72.0,13.96
-68.48,20.0,23.89,-71.0,9.07,-72.0,13.82
-68.79,20.0,23.71,-70.0,9.02,-71.0,13.68
-68.9,20.0,25.52,-70.0,8.98,-71.0,13.55
-69.22,20.0,23.34,-70.0,8.93,-71.0,13.41
-69.53,20.0,23.17,-70.0,8.89,-71.0,13.28
-69.64,20.0,24.99,-70.0,8.84,-71.0,13.14
-69.95,20.0,22.81,-70.0,8.8,-71.0,13.01
-70.26,20.0,22.64,-70.0,8.76,-71.0,12.88
-70.36,20.0,24.47,-70.0,8.71,-71.0,12.75
-70.67,20.0,22.29,-70.0,8.67,-71.0,12.63
-70.97,20.0,22.13,-70.0,8.62,-71.0,12.5
-71.06,0.0,23.96,-70.0,8.58,-71.0,12.38
-71.35,0.0,21.79,-72.0,8.54,-73.0,12.25
-71.64,0.0,21.63,-76.0,8.5,-77.0,12.13
-71.72,0.0,23.46,-79.0,8.45,-82.0,12.01
-72.0,0.0,21.3,-81.0,8.41,-84.0,11.89
-72.27,0.0,21.14,-83.0,8.37,-86.0,11.77
-72.34,0.0,22.98,-85.0,8.33,-87.0,11.65
-72.6,0.0,20.82,-86.0,8.29,-89.0,11.53
-72.86,0.0,20.66,-88.0,8.24,-90.0,11.42
-72.91,0.0,22.51,-90.0,8.2,-90.0,11.31
-73.16,0.0,20.35,-90.0,8.16,-91.0,11.19
-73.4,0.0,20.2,-91.0,8.12,-91.0,11.08
-73.53,0.0,21.05,-91.0,8.08,-91.0,10.97
-73.76,0.0,19.9,-91.0,8.04,-92.0,10.86
-73.88,0.0,20.75,-91.0,8.0,-92.0,10.75
-74.0,0.0,20.6,-91.0,7.96,-92.0,10.64
-74.22,0.0,19.46,-91.0,7.92,-92.0,10.54
-74.32,0.0,20.31,-92.0,7.88,-92.0,10.43
-74.53,0.0,19.17,-92.0,7.84,-92.0,10.33
-74.72,0.0,19.03,-92.0,7.8,-92.0,10.22
-74.71,0.0,20.88,-92.0,7.76,-92.0,10.12
-74.9,0.0,18.74,-91.0,7.72,-92.0,10.02
-75.09,0.0,18.61,-91.0,7.69,-92.0,9.92
-75.06,0.0,20.47,-91.0,7.65,-92.0,9.82
-75.25,0.0,18.33,-91.0,7.61,-91.0,9.72
-75.42,0.0,18.2,-91.0,7.57,-91.0,9.63
-75.39,0.0,20.06,-91.0,7.53,-91.0,9.53
-75.57,0.0,17.93,-91.0,7.5,-92.0,9.43
-75.74,0.0,17.8,-91.0,7.46,-92.0,9.34
-75.69,0.0,19.67,-91.0,7.42,-92.0,9.25
-75.86,0.0,17.54,-91.0,7.38,-92.0,9.15
-76.02,0.0,17.41,-91.0,7.35,-92.0,9.06
-75.97,0.0,19.28,-91.0,7.31,-91.0,8.97
-76.14,0.0,17.16,-91.0,7.27,-91.0,8.88
-76.29,0.0,17.03,-91.0,7.24,-91.0,8.79
-76.23,0.0,18.91,-91.0,7.2,-91.0,8.71
-76.39,0.0,16.78,-91.0,7.16,-91.0,8.62
-76.54,0.0,16.66,-91.0,7.13,-91.0,8.53
-76.48,0.0,18.54,-91.0,7.09,-91.0,8.45
-76.63,0.0,16.42,-91.0,7.06,-91.0,8.36
-76.77,0.0,16.3,-91.0,7.02,-91.0,8.28
-76.7,0.0,18.18,-91.0,6.99,-91.0,8.2
-76.85,0.0,16.07,-91.0,6.95,-91.0,8.11
-76.99,0.0,15.95,-91.0,6.92,-91.0,8.03
-76.91,0.0,17.84,-91.0,6.88,-91.0,7.95
-77.06,0.0,15.72,-91.0,6.85,-91.0,7.87
-77.19,0.0,15.61,-91.0,6.81,-91.0,7.79
-77.11,0.0,17.5,-91.0,6.78,-91.0,7.72
-77.25,0.0,15.39,-91.0,6.75,-91.0,7.64
-77.38,0.0,15.28,-91.0,6.71,-91.0,7.56
-77.3,0.0,17.17,-91.0,6.68,-91.0,7.49
-77.43,0.0,15.06,-91.0,6.65,-91.0,7.41
-77.56,0.0,14.95,-91.0,6.61,-91.0,7.34
-77.47,0.0,16.84,-91.0,6.58,-91.0,7.26
-77.6,0.0,14.74,-90.0,6.55,-91.0,7.19
-77.72,0.0,14.63,-90.0,6.51,-91.0,7.12
-77.64,0.0,16.53,-90.0,6.48,-91.0,7.05
-77.76,0.0,14.43,-90.0,6.45,-91.0,6.98
-77.88,0.0,14.33,-90.0,6.42,-91.0,6.91
-77.79,0.0,16.22,-90.0,6.38,-91.0,6.84
-77.91,0.0,14.12,-90.0,6.35,-91.0,6.77
-78.03,0.0,14.02,-90.0,6.32,-91.0,6.7
-77.94,0.0,15.93,-90.0,6.29,-91.0,6.64
-78.06,0.0,13.83,-90.0,6.26,-90.0,6.57
-78.17,0.0,13.73,-90.0,6.23,-90.0,6.5
-78.07,0.0,15.63,-90.0,6.2,-90.0,6.44
-78.19,0.0,13.54,-90.0,6.16,-90.0,6.38
-78.3,0.0,13.44,-90.0,6.13,-90.0,6.31
-78.2,0.0,15.35,-90.0,6.1,-90.0,6.25
-78.32,0.0,13.26,-90.0,6.07,-90.0,6.19
-78.43,0.0,13.17,-90.0,6.04,-90.0,6.12
-78.32,0.0,15.07,-90.0,6.01,-90.0,6.06
-78.44,0.0,12.98,-90.0,5.98,-90.0,6.0
-78.54,0.0,12.89,-90.0,5.95,-90.0,5.94
-78.44,0.0,14.8,-90.0,5.92,-90.0,5.88
-78.55,0.0,12.72,-90.0,5.89,-90.0,5.82
-78.66,0.0,12.63,-90.0,5.86,-90.0,5.77
-78.65,0.0,13.54,-90.0,5.83,-90.0,5.71
-78.75,0.0,12.46,-90.0,5.8,-90.0,5.65
-78.84,0.0,12.37,-90.0,5.78,-90.0,5.59
-78.72,0.0,14.28,-90.0,5.75,-90.0,5.54
-78.82,0.0,12.2,-90.0,5.72,-90.0,5.48
-78.91,0.0,12.12,-90.0,5.69,-90.0,5.43
-78.89,0.0,13.03,-88.0,5.66,-90.0,5.37
-78.98,0.0,11.95,-88.0,5.63,-90.0,5.32
-78.96,0.0,12.87,-88.0,5.6,-90.0,5.27
-78.95,0.0,12.79,-88.0,5.58,-90.0,5.21
-79.04,0.0,11.71,-88.0,5.55,-90.0,5.16
-79.13,0.0,11.63,-88.0,5.52,-89.0,5.11
-79.1,0.0,12.55,-88.0,5.49,-89.0,5.06
-79.18,0.0,11.47,-88.0,5.47,-89.0,5.01
-79.26,0.0,11.4,-88.0,5.44,-89.0,4.96
-79.12,0.0,13.32,-88.0,5.41,-89.0,4.91
-79.21,0.0,11.24,-88.0,5.38,-89.0,4.86
-79.29,0.0,11.17,-88.0,5.36,-89.0,4.81
-79.26,0.0,12.09,-88.0,5.33,-89.0,4.76
-79.34,0.0,11.02,-88.0,5.3,-89.0,4.72
-79.31,0.0,11.95,-88.0,5.28,-89.0,4.67
-79.29,0.0,11.87,-88.0,5.25,-89.0,4.62
-79.37,0.0,10.8,-89.0,5.22,-89.0,4.58
-79.45,0.0,10.73,-88.0,5.2,-89.0,4.53
-79.41,0.0,11.66,-88.0,5.17,-89.0,4.48
-79.49,0.0,10.59,-88.0,5.15,-89.0,4.44
-79.45,0.0,11.52,-88.0,5.12,-89.0,4.4
-79.43,0.0,11.45,-88.0,5.1,-89.0,4.35
-79.51,0.0,10.38,-88.0,5.07,-89.0,4.31
-79.48,0.0,11.31,-88.0,5.04,-89.0,4.26
-79.46,0.0,11.24,-88.0,5.02,-89.0,4.22
-79.54,0.0,10.17,-88.0,4.99,-89.0,4.18
-79.51,0.0,11.11,-88.0,4.97,-89.0,4.14
-79.49,0.0,11.04,-88.0,4.94,-89.0,4.1
-79.58,0.0,9.98,-88.0,4.92,-89.0,4.06
-79.55,0.0,10.91,-88.0,4.89,-89.0,4.02
-79.53,0.0,10.85,-87.0,4.87,-89.0,3.98
-79.62,0.0,9.78,-87.0,4.85,-89.0,3.94
-79.59,0.0,10.72,-87.0,4.82,-89.0,3.9
-79.57,0.0,10.65,-87.0,4.8,-87.0,3.86
-79.66,0.0,9.59,-87.0,4.77,-87.0,3.82
-79.74,0.0,9.53,-87.0,4.75,-87.0,3.78
-79.7,0.0,10.47,-87.0,4.73,-87.0,3.74
-79.78,0.0,9.41,-87.0,4.7,-87.0,3.71
-79.84,0.0,9.35,-87.0,4.68,-87.0,3.67
-79.8,0.0,10.29,-87.0,4.66,-87.0,3.63
-79.86,0.0,9.23,-87.0,4.63,-87.0,3.59
-79.82,0.0,10.17,-87.0,4.61,-87.0,3.56
-79.79,0.0,10.11,-87.0,4.59,-87.0,3.52
-79.86,0.0,9.05,-87.0,4.56,-87.0,3.49
-79.82,0.0,9.99,-87.0,4.54,-87.0,3.45
-79.79,0.0,9.94,-87.0,4.52,-87.0,3.42
-79.87,0.0,8.88,-87.0,4.49,-87.0,3.38
-79.93,0.0,8.82,-87.0,4.47,-87.0,3.35
-79.89,0.0,9.77,-87.0,4.45,-87.0,3.32
-79.96,0.0,8.71,-87.0,4.43,-87.0,3.28
-79.91,0.0,9.66,-87.0,4.41,-87.0,3.25
-79.88,0.0,9.6,-87.0,4.38,-87.0,3.22
-79.95,0.0,8.55,-87.0,4.36,-87.0,3.19
-80.01,0.0,8.49,-87.0,4.34,-87.0,3.15
-79.96,0.0,9.44,-87.0,4.32,-87.0,3.12
-80.03,0.0,8.39,-87.0,4.3,-87.0,3.09
-79.98,0.0,9.34,-87.0,4.28,-87.0,3.06
-79.94,0.0,9.28,-87.0,4.25,-87.0,3.03
-80.01,0.0,8.23,-87.0,4.23,-87.0,3.0
-79.97,0.0,9.18,-87.0,4.21,-87.0,2.97
-79.94,0.0,9.13,-87.0,4.19,-87.0,2.94
-80.01,0.0,8.08,-87.0,4.17,-87.0,2.91
-79.97,0.0,9.03,-87.0,4.15,-87.0,2.88
-80.04,0.0,7.98,-86.0,4.13,-87.0,2.85
-80.1,0.0,7.93,-86.0,4.11,-87.0,2.82
-80.05,0.0,8.88,-86.0,4.09,-87.0,2.8
-80.01,0.0,8.83,-86.0,4.07,-87.0,2.77
-80.08,0.0,7.79,-86.0,4.05,-87.0,2.74
-80.03,0.0,8.74,-86.0,4.03,-86.0,2.71
-80.1,0.0,7.69,-86.0,4.01,-86.0,2.69
-80.15,0.0,7.64,-86.0,3.99,-86.0,2.66
-80.1,0.0,8.6,-86.0,3.97,-86.0,2.63
-80.06,0.0,8.55,-86.0,3.95,-86.0,2.61
-80.12,0.0,7.51,-86.0,3.93,-86.0,2.58
-80.08,0.0,8.46,-86.0,3.91,-86.0,2.55
-80.04,0.0,8.42,-86.0,3.89,-86.0,2.53
-80.1,0.0,7.37,-86.0,3.87,-86.0,2.5
-80.06,0.0,8.33,-86.0,3.85,-86.0,2.48
-80.13,0.0,7.28,-86.0,3.83,-86.0,2.45
-80.18,0.0,7.24,-86.0,3.81,-86.0,2.43
-80.13,0.0,8.2,-86.0,3.79,-86.0,2.4
-80.19,0.0,7.15,-86.0,3.77,-86.0,2.38
-80.24,0.0,7.11,-86.0,3.75,-86.0,2.36
-80.18,0.0,8.07,-86.0,3.73,-86.0,2.33
-80.13,0.0,8.03,-86.0,3.72,-86.0,2.31
-80.18,0.0,6.98,-86.0,3.7,-86.0,2.29
-80.13,0.0,7.94,-86.0,3.68,-86.0,2.26
-80.19,0.0,6.9,-86.0,3.66,-86.0,2.24
-80.24,0.0,6.86,-86.0,3.64,-86.0,2.22
-80.18,0.0,7.82,-86.0,3.62,-86.0,2.2
-80.23,0.0,6.78,-86.0,3.61,-86.0,2.17
-80.28,0.0,6.74,-86.0,3.59,-86.0,2.15
-80.21,0.0,7.7,-86.0,3.57,-86.0,2.13
-80.26,0.0,6.66,-86.0,3.55,-86.0,2.11
-80.3,0.0,6.62,-86.0,3.53,-85.0,2.09
-80.23,0.0,7.58,-86.0,3.52,-86.0,2.07
-80.28,0.0,6.55,-85.0,3.5,-86.0,2.05
-80.31,0.0,6.51,-84.0,3.48,-85.0,2.03
-80.24,0.0,7.47,-84.0,3.46,-85.0,2.01
-80.29,0.0,6.43,-84.0,3.45,-85.0,1.99
-80.32,0.0,6.4,-85.0,3.43,-85.0,1.97
-80.25,0.0,7.36,-84.0,3.41,-85.0,1.95
-80.19,0.0,7.32,-84.0,3.39,-85.0,1.93
-80.24,0.0,6.29,-84.0,3.38,-85.0,1.91
-80.18,0.0,7.25,-85.0,3.36,-85.0,1.89
-80.23,0.0,6.21,-85.0,3.34,-85.0,1.87
-80.27,0.0,6.18,-85.0,3.33,-85.0,1.85
-80.21,0.0,7.14,-85.0,3.31,-85.0,1.83
-80.25,0.0,6.11,-85.0,3.29,-85.0,1.82
-80.29,0.0,6.07,-85.0,3.28,-85.0,1.8
-80.22,0.0,7.04,-84.0,3.26,-85.0,1.78
-80.26,0.0,6.01,-84.0,3.25,-85.0,1.76
-80.3,0.0,5.97,-85.0,3.23,-85.0,1.74
-80.13,0.0,7.94,-84.0,3.21,-85.0,1.73
-80.18,0.0,5.91,-84.0,3.2,-85.0,1.71
-80.23,0.0,5.87,-85.0,3.18,-85.0,1.69
-80.07,0.0,7.84,-85.0,3.16,-85.0,1.67
-80.13,0.0,5.81,-84.0,3.15,-85.0,1.66
-80.18,0.0,5.77,-84.0,3.13,-85.0,1.64
-80.02,0.0,7.74,-84.0,3.12,-85.0,1.63
-80.09,0.0,5.71,-85.0,3.1,-85.0,1.61
-80.14,0.0,5.68,-85.0,3.09,-85.0,1.59
-79.99,0.0,7.65,-85.0,3.07,-85.0,1.58
-80.06,0.0,5.62,-85.0,3.06,-85.0,1.56
-80.12,0.0,5.59,-84.0,3.04,-85.0,1.55
-79.97,0.0,7.56,-84.0,3.03,-85.0,1.53
-80.04,0.0,5.52,-84.0,3.01,-85.0,1.51
-80.1,0.0,5.49,-85.0,2.99,-85.0,1.5
-79.95,0.0,7.46,-84.0,2.98,-85.0,1.48
-80.02,0.0,5.43,-85.0,2.97,-85.0,1.47
-80.08,0.0,5.41,-83.0,2.95,-85.0,1.46
-79.93,0.0,7.38,-83.0,2.94,-85.0,1.44
-80.0,0.0,5.35,-83.0,2.92,-85.0,1.43
-80.06,0.0,5.32,-83.0,2.91,-84.0,1.41
-79.91,0.0,7.29,-83.0,2.89,-84.0,1.4
-79.98,0.0,5.26,-83.0,2.88,-84.0,1.38
-80.04,0.0,5.23,-83.0,2.86,-84.0,1.37
-79.9,0.0,7.2,-83.0,2.85,-84.0,1.36
-79.97,0.0,5.18,-83.0,2.83,-84.0,1.34
-80.03,0.0,5.15,-83.0,2.82,-84.0,1.33
-79.88,0.0,7.12,-83.0,2.81,-84.0,1.32
-79.95,0.0,5.09,-83.0,2.79,-84.0,1.3
-80.01,0.0,5.07,-83.0,2.78,-84.0,1.29
-79.86,0.0,7.04,-83.0,2.76,-84.0,1.28
-79.93,0.0,5.01,-83.0,2.75,-84.0,1.26
-79.99,0.0,4.99,-83.0,2.74,-84.0,1.25
-79.85,0.0,6.96,-83.0,2.72,-84.0,1.24
-79.92,0.0,4.94,-83.0,2.71,-84.0,1.23
-79.98,0.0,4.91,-83.0,2.7,-84.0,1.21
-79.83,0.0,6.88,-83.0,2.68,-84.0,1.2
-79.9,0.0,4.86,-83.0,2.67,-84.0,1.19
